subjectSlug,difficulty,type,content,answersJson,mediaUrl
toan-hoc,easy,single_choice,Kết quả của phép tính 125 + 75 là:,"[{""text"":""200"",""isCorrect"":true},{""text"":""190"",""isCorrect"":false},{""text"":""210"",""isCorrect"":false},{""text"":""150"",""isCorrect"":false}]",
toan-hoc,easy,single_choice,Số nào sau đây là số lớn nhất có hai chữ số?,"[{""text"":""99"",""isCorrect"":true},{""text"":""10"",""isCorrect"":false},{""text"":""90"",""isCorrect"":false},{""text"":""100"",""isCorrect"":false}]",
toan-hoc,easy,fill_in_blank,Số liền trước của số 1000 là: ____,"{""accepted"":[""999""]}",
toan-hoc,easy,single_choice,Kết quả của phép nhân 5 x 8 là:,"[{""text"":""40"",""isCorrect"":true},{""text"":""35"",""isCorrect"":false},{""text"":""45"",""isCorrect"":false},{""text"":""50"",""isCorrect"":false}]",
toan-hoc,easy,multiple_choice,Trong các số sau, những số nào là số chẵn?,"[{""text"":""2"",""isCorrect"":true},{""text"":""15"",""isCorrect"":false},{""text"":""24"",""isCorrect"":true},{""text"":""31"",""isCorrect"":false}]",
toan-hoc,easy,single_choice,Một hình vuông có cạnh 4cm. Chu vi của hình vuông đó là:,"[{""text"":""16 cm"",""isCorrect"":true},{""text"":""8 cm"",""isCorrect"":false},{""text"":""12 cm"",""isCorrect"":false},{""text"":""20 cm"",""isCorrect"":false}]",
toan-hoc,easy,fill_in_blank,Kết quả của phép chia 81 : 9 là: ____,"{""accepted"":[""9""]}",
toan-hoc,easy,single_choice,Số gồm 5 nghìn và 3 đơn vị được viết là:,"[{""text"":""5003"",""isCorrect"":true},{""text"":""5300"",""isCorrect"":false},{""text"":""5030"",""isCorrect"":false},{""text"":""53"",""isCorrect"":false}]",
toan-hoc,easy,multiple_choice,Những hình nào sau đây là hình đa giác?,"[{""text"":""Hình tam giác"",""isCorrect"":true},{""text"":""Hình tròn"",""isCorrect"":false},{""text"":""Hình lục giác"",""isCorrect"":true},{""text"":""Hình cung"",""isCorrect"":false}]",
toan-hoc,easy,single_choice,Giá trị của chữ số 7 trong số 17.405 là:,"[{""text"":""7.000"",""isCorrect"":true},{""text"":""700"",""isCorrect"":false},{""text"":""70"",""isCorrect"":false},{""text"":""7"",""isCorrect"":false}]",
toan-hoc,easy,fill_in_blank,Một giờ có bao nhiêu phút?,"{""accepted"":[""60""]}",
toan-hoc,easy,single_choice,Kết quả của 500 - 123 là:,"[{""text"":""377"",""isCorrect"":true},{""text"":""387"",""isCorrect"":false},{""text"":""477"",""isCorrect"":false},{""text"":""323"",""isCorrect"":false}]",
toan-hoc,easy,single_choice,Số nào chia hết cho 5?,"[{""text"":""105"",""isCorrect"":true},{""text"":""102"",""isCorrect"":false},{""text"":""94"",""isCorrect"":false},{""text"":""51"",""isCorrect"":false}]",
toan-hoc,easy,fill_in_blank,Điền số tiếp theo vào dãy: 2; 4; 6; 8; ...,"{""accepted"":[""10""]}",
toan-hoc,easy,multiple_choice,Các tháng nào sau đây có 31 ngày?,"[{""text"":""Tháng 1"",""isCorrect"":true},{""text"":""Tháng 4"",""isCorrect"":false},{""text"":""Tháng 12"",""isCorrect"":true},{""text"":""Tháng 6"",""isCorrect"":false}]",
