subjectSlug,difficulty,type,content,answersJson,mediaUrl
hoa-hoc,easy,single_choice,"Ký hiệu hóa học của nước là:","[{""text"":""H₂O"",""isCorrect"":true},{""text"":""CO₂"",""isCorrect"":false},{""text"":""O₂"",""isCorrect"":false},{""text"":""H₂"",""isCorrect"":false}]",
hoa-hoc,easy,single_choice,"Nguyên tố có số nguyên tử bằng 1 là:","[{""text"":""Hydrogen"",""isCorrect"":true},{""text"":""Helium"",""isCorrect"":false},{""text"":""Carbon"",""isCorrect"":false},{""text"":""Oxygen"",""isCorrect"":false}]",
hoa-hoc,easy,true_false,"Nước là hợp chất","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,easy,true_false,"Oxygen là kim loại","[{""value"":true,""isCorrect"":false},{""value"":false,""isCorrect"":true}]",
hoa-hoc,easy,fill_in_blank,"Công thức hóa học của khí carbon dioxide là: _____","{""accepted"":[""CO2"",""CO₂""]}",
hoa-hoc,easy,matching,"Nối các nguyên tố với ký hiệu hóa học:","{""pairs"":[{""left"":""Hydrogen"",""right"":""H""},{""left"":""Carbon"",""right"":""C""},{""left"":""Oxygen"",""right"":""O""}]}",
hoa-hoc,easy,multiple_choice,"Các kim loại nào sau đây có thể phản ứng với axit? (chọn nhiều đáp án)","[{""text"":""Sắt"",""isCorrect"":true},{""text"":""Vàng"",""isCorrect"":false},{""text"":""Kẽm"",""isCorrect"":true},{""text"":""Bạc"",""isCorrect"":false}]",
hoa-hoc,easy,single_choice,"Muối ăn có công thức hóa học là:","[{""text"":""NaCl"",""isCorrect"":true},{""text"":""KCl"",""isCorrect"":false},{""text"":""CaCl₂"",""isCorrect"":false},{""text"":""MgCl₂"",""isCorrect"":false}]",
hoa-hoc,easy,true_false,"Kim loại vàng dẫn điện tốt","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,easy,fill_in_blank,"Khí oxygen có ký hiệu hóa học là: _____","{""accepted"":[""O2"",""O₂""]}",
hoa-hoc,easy,single_choice,"Nguyên tố nào sau đây là khí trơ?","[{""text"":""Neon"",""isCorrect"":true},{""text"":""Nitrogen"",""isCorrect"":false},{""text"":""Hydrogen"",""isCorrect"":false},{""text"":""Carbon"",""isCorrect"":false}]",
hoa-hoc,easy,true_false,"Nước đá là thể rắn của nước","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
hoa-hoc,easy,single_choice,"Kim loại nào có màu đỏ?","[{""text"":""Đồng"",""isCorrect"":true},{""text"":""Sắt"",""isCorrect"":false},{""text"":""Nhôm"",""isCorrect"":false},{""text"":""Kẽm"",""isCorrect"":false}]",
hoa-hoc,easy,fill_in_blank,"Phân tử nước gồm _____ nguyên tử hydrogen và 1 nguyên tử oxygen","{""accepted"":[""2"",""hai""]}",
hoa-hoc,easy,matching,"Nối các chất với trạng thái tự nhiên:","{""pairs"":[{""left"":""Oxygen"",""right"":""Khí""},{""left"":""Nước"",""right"":""Lỏng""},{""left"":""Sắt"",""right"":""Rắn""}]}",
