subjectSlug,difficulty,type,content,answersJson,mediaUrl
vat-ly,easy,single_choice,Đơn vị đo lực trong hệ SI là:,"[{""text"":""Newton (N)"",""isCorrect"":true},{""text"":""Joule (J)"",""isCorrect"":false},{""text"":""Watt (W)"",""isCorrect"":false},{""text"":""Pascal (Pa)"",""isCorrect"":false}]",
vat-ly,easy,single_choice,Vật nào sau đây là nguồn sáng?,"[{""text"":""Mặt trời"",""isCorrect"":true},{""text"":""Mặt trăng"",""isCorrect"":false},{""text"":""Tờ giấy trắng"",""isCorrect"":false},{""text"":""Con mèo"",""isCorrect"":false}]",
vat-ly,easy,fill_in_blank,Dòng điện là dòng các điện tích dịch chuyển có ____,"{""accepted"":[""hướng""]}",
vat-ly,easy,multiple_choice,Những đại lượng nào sau đây là đại lượng vectơ?,"[{""text"":""Lực"",""isCorrect"":true},{""text"":""Vận tốc"",""isCorrect"":true},{""text"":""Khối lượng"",""isCorrect"":false},{""text"":""Thời gian"",""isCorrect"":false}]",
vat-ly,easy,matching,Nối các đại lượng với đơn vị tương ứng:,"{""pairs"":[{""left"":""Công suất"",""right"":""Watt""},{""left"":""Nhiệt lượng"",""right"":""Joule""},{""left"":""Điện trở"",""right"":""Ohm""}]}",
vat-ly,easy,single_choice,Hiện tượng cầu vồng xuất hiện sau cơn mưa là kết quả của hiện tượng:,"[{""text"":""Tán sắc ánh sáng"",""isCorrect"":true},{""text"":""Phản xạ toàn phần"",""isCorrect"":false},{""text"":""Khúc xạ ánh sáng"",""isCorrect"":false},{""text"":""Giao thoa ánh sáng"",""isCorrect"":false}]",
vat-ly,easy,fill_in_blank,Đơn vị đo hiệu điện thế là: ____,"{""accepted"":[""Vôn"",""Volt"",""V""]}",
vat-ly,easy,single_choice,Âm thanh không truyền được trong môi trường nào?,"[{""text"":""Chân không"",""isCorrect"":true},{""text"":""Nước"",""isCorrect"":false},{""text"":""Không khí"",""isCorrect"":false},{""text"":""Thép"",""isCorrect"":false}]",
vat-ly,easy,multiple_choice,Các hình thức truyền nhiệt bao gồm:,"[{""text"":""Dẫn nhiệt"",""isCorrect"":true},{""text"":""Đối lưu"",""isCorrect"":true},{""text"":""Bức xạ nhiệt"",""isCorrect"":true},{""text"":""Khúc xạ"",""isCorrect"":false}]",
vat-ly,easy,single_choice,Đổi 50cm bằng bao nhiêu mét?,"[{""text"":""0.5m"",""isCorrect"":true},{""text"":""5m"",""isCorrect"":false},{""text"":""0.05m"",""isCorrect"":false},{""text"":""500m"",""isCorrect"":false}]",
vat-ly,easy,fill_in_blank,Trọng lực của một vật có phương thẳng đứng và chiều từ ____ xuống dưới.,"{""accepted"":[""trên""]}",
