subjectSlug,difficulty,type,content,answersJson,mediaUrl
lich-su,easy,single_choice,"Nhà nước phong kiến đầu tiên của Việt Nam là:","[{""text"":""Nhà nước Văn Lang"",""isCorrect"":true},{""text"":""Nhà nước Âu Lạc"",""isCorrect"":false},{""text"":""Nhà Triệu"",""isCorrect"":false},{""text"":""Nhà Đinh"",""isCorrect"":false}]",
lich-su,easy,single_choice,"Vua nào đã đánh tan quân Mông Cổ 3 lần?","[{""text"":""Trần Nhân Tông"",""isCorrect"":true},{""text"":""Lý Thái Tổ"",""isCorrect"":false},{""text"":""Lê Lợi"",""isCorrect"":false},{""text"":""Quang Trung"",""isCorrect"":false}]",
lich-su,easy,true_false,"Hùng Vương là vị vua đầu tiên của dân tộc Việt Nam","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
lich-su,easy,fill_in_blank,"Thủ đô đầu tiên của Việt Nam là thành _____ do Lý Thái Tổ dời đô năm 1010","{""accepted"":[""Thăng Long"",""Thang Long""]}",
lich-su,easy,single_choice,"Cuộc khởi nghĩa Hai Bà Trưng diễn ra vào thời kỳ nào?","[{""text"":""Bắc thuộc"",""isCorrect"":true},{""text"":""Tự chủ"",""isCorrect"":false},{""text"":""Độc lập"",""isCorrect"":false},{""text"":""Phong kiến"",""isCorrect"":false}]",
lich-su,easy,matching,"Nối các vua với triều đại:","[{""pairs"":[{""left"":""Lý Thái Tổ"",""right"":""Nhà Lý""},{""left"":""Trần Hưng Đạo"",""right"":""Nhà Trần""},{""left"":""Lê Lợi"",""right"":""Nhà Lê""}]}",
lich-su,easy,true_false,"Ngô Quyền đánh thắng quân Nam Hán trên sông Bạch Đằng năm 938","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
lich-su,easy,single_choice,"Người anh hùng nào được mệnh danh là 'Bình Tây Đại Nguyên soái'?","[{""text"":""Quang Trung"",""isCorrect"":true},{""text"":""Trần Hưng Đạo"",""isCorrect"":false},{""text"":""Lê Lợi"",""isCorrect"":false},{""text"":""Lý Thường Kiệt"",""isCorrect"":false}]",
lich-su,easy,fill_in_blank,"Chiến thắng _____ năm 1789 đánh tan 29 vạn quân Thanh","{""accepted"":[""Ngọc Hồi - Đống Đa"",""Ngoc Hoi - Dong Da"",""Đống Đa"",""Dong Da""]}",
lich-su,easy,multiple_choice,"Các triều đại nào thuộc thời kỳ phong kiến Việt Nam? (chọn nhiều đáp án)","[{""text"":""Nhà Lý"",""isCorrect"":true},{""text"":""Nhà Trần"",""isCorrect"":true},{""text"":""Nhà Hán"",""isCorrect"":false},{""text"":""Nhà Thanh"",""isCorrect"":false}]",
lich-su,easy,single_choice,"Ai là người sáng lập Đảng Cộng sản Việt Nam?","[{""text"":""Hồ Chí Minh"",""isCorrect"":true},{""text"":""Võ Nguyên Giáp"",""isCorrect"":false},{""text"":""Trường Chinh"",""isCorrect"":false},{""text"":""Phạm Văn Đồng"",""isCorrect"":false}]",
lich-su,easy,true_false,"Cách mạng tháng Tám thành công năm 1945","[{""value"":true,""isCorrect"":true},{""value"":false,""isCorrect"":false}]",
lich-su,easy,fill_in_blank,"Nước Việt Nam Dân chủ Cộng hòa được thành lập ngày _____/9/1945","{""accepted"":[""2"",""02""]}",
